,Unnamed: 0,0,1,2,classes,colors,Text,Title,Article
10,10,0.0837924229650686,0.0558208339143359,0.0330737197520615,FREEDOM,"(0.86, 0.7612000000000001, 0.33999999999999997)",The restrictions permitted<br>under this Convention to the<br>said rights and freedoms shall<br>not be applied for any purpose<br>other than those for which<br>they have been prescribed.<br>SECTION II EUROPEAN COURT OF<br>HUMAN RIGHTS,Limitation on use of restrictions on rights,18
11,11,0.1004292474271933,0.038648904212799,-0.0073971332400506,SOLIDARITY,"(0.86, 0.33999999999999997, 0.6987999999999996)","The Court may receive<br>applications from any person,<br>nongovernmental organisation<br>or group of individuals<br>claiming to be the victim of a<br>violation by one of the High<br>Contracting Parties of the<br>rights set forth in the<br>Convention or the Protocols<br>thereto. The High Contracting<br>Parties undertake not to<br>hinder in any way the<br>effective exercise of this<br>right.",Individual applications,34
12,12,0.1525166648378071,0.1749849274214349,0.0836992761232707,FREEDOM,"(0.86, 0.7612000000000001, 0.33999999999999997)","1. In the determination of his<br>civil rights and obligations<br>or of any criminal charge<br>against him, everyone is<br>entitled to a fair and public<br>hearing within a reasonable<br>time by an independent and<br>impartial tribunal established<br>by law. Judgment shall be<br>pronounced publicly but the<br>press and public may be<br>excluded from all or part of<br>the trial in the interests of<br>morals, public order or<br>national security in a<br>democratic society, where the<br>interests of juveniles or the<br>protection of the private life<br>of the parties so require, or<br>to the extent strictly<br>necessary in the opinion of<br>the court in special<br>circumstances where publicity<br>would prejudice the interests<br>of justice. 2. Everyone<br>charged with a criminal<br>offence shall be presumed<br>innocent until proved guilty<br>according to law 3. Everyone<br>charged with a criminal<br>offence has the following<br>minimum rights: (a) to be<br>informed promptly, in a<br>language which he understands<br>and in detail, of the nature<br>and cause of the accusation<br>against him; (b) to have<br>adequate time and facilities<br>for the preparation of his<br>defence; (c) to defend himself<br>in person or through legal<br>assistance of his own choosing<br>or, if he has not sufficient<br>means to pay for legal<br>assistance, to be given it<br>free when the interests of<br>justice so require; (d) to<br>examine or have examined<br>witnesses against him and to<br>obtain the attendance and<br>examination of witnesses on<br>his behalf under the same<br>conditions as witnesses<br>against him; (e) to have the<br>free assistance of an<br>interpreter if he cannot<br>understand or speak the<br>language used in court.",Right to a fair trial,6-3-c
13,13,0.1768007042392898,0.0457377533281911,0.0327174400397672,FREEDOM,"(0.86, 0.7612000000000001, 0.33999999999999997)","1. Everyone has the right to<br>freedom of expression. This<br>right shall include freedom to<br>hold opinions and to receive<br>and impart information and<br>ideas without interference by<br>public authority and<br>regardless of frontiers. This<br>Article shall not prevent<br>States from requiring the<br>licensing of broadcasting,<br>television or cinema<br>enterprises. 2. The exercise<br>of these freedoms, since it<br>carries with it duties and<br>responsibilities, may be<br>subject to such formalities,<br>conditions, restrictions or<br>penalties as are prescribed by<br>law and are necessary in a<br>democratic society, in the<br>interests of national<br>security, territorial<br>integrity or public safety,<br>for the prevention of disorder<br>or crime, for the protection<br>of health or morals, for the<br>protection of the reputation<br>or rights of others, for<br>preventing the disclosure of<br>information received in<br>confidence, or for maintaining<br>the authority and impartiality<br>of the judiciary.",Freedom of expression,10
14,14,0.4114484000762097,-0.0661101841491465,-0.0302260879387119,DIGNITY,"(0.86, 0.3712, 0.33999999999999997)","1. Everyone has the right to<br>liberty and security of<br>person. No one shall be<br>deprived of his liberty save<br>in the following cases and in<br>accordance with a procedure<br>prescribed by law: (a) the<br>lawful detention of a person<br>after conviction by a<br>competent court; (b) the<br>lawful arrest or detention of<br>a person for noncompliance<br>with the lawful order of a<br>court or in order to secure<br>the fulfilment of any<br>obligation prescribed by law;<br>(c) the lawful arrest or<br>detention of a person effected<br>for the purpose of bringing<br>him before the competent legal<br>authority on reasonable<br>suspicion of having committed<br>an offence or when it is<br>reasonably considered<br>necessary to prevent his<br>committing an offence or<br>fleeing after having done so;<br>(d) the detention of a minor<br>by lawful order for the<br>purpose of educational<br>supervision or his lawful<br>detention for the purpose of<br>bringing him before the<br>competent legal authority; (e)<br>the lawful detention of<br>persons for the prevention of<br>the spreading of infectious<br>diseases, of persons of<br>unsound mind, alcoholics or<br>drug addicts or vagrants; (f)<br>the lawful arrest or detention<br>of a person to prevent his<br>effecting an unauthorised<br>entry into the country or of a<br>person against whom action is<br>being taken with a view to<br>deportation or extradition. 2.<br>Everyone who is arrested shall<br>be informed promptly, in a<br>language which he understands,<br>of the reasons for his arrest<br>and of any charge against him.<br>3. Everyone arrested or<br>detained in accordance with<br>the provisions of paragraph 1<br>(c) of this Article shall be<br>brought promptly before a<br>judge or other officer<br>authorised by law to exercise<br>judicial power and shall be<br>entitled to trial within a<br>reasonable time or to release<br>pending trial. Release may be<br>conditioned by guarantees to<br>appear for trial. 4. Everyone<br>who is deprived of his liberty<br>by arrest or detention shall<br>be entitled to take<br>proceedings by which the<br>lawfulness of his detention<br>shall be decided speedily by a<br>court and his release ordered<br>if the detention is not<br>lawful. 5. Everyone who has<br>been the victim of arrest or<br>detention in contravention of<br>the provisions of this Article<br>shall have an enforceable<br>right to compensation.",Right to liberty and security,5-4
15,15,0.0200434169695154,-0.061746696085897,0.1777607161463965,FREEDOM,"(0.86, 0.7612000000000001, 0.33999999999999997)","1. Everyone has the right to<br>freedom of peaceful assembly<br>and to freedom of association<br>with others, including the<br>right to form and to join<br>trade unions for the<br>protection of his interests.<br>2. No restrictions shall be<br>placed on the exercise of<br>these rights other than such<br>as are prescribed by law and<br>are necessary in a democratic<br>society in the interests of<br>national security or public<br>safety, for the prevention of<br>disorder or crime, for the<br>protection of health or morals<br>or for the protection of the<br>rights and freedoms of others.<br>This Article shall not prevent<br>the imposition of lawful<br>restrictions on the exercise<br>of these rights by members of<br>the armed forces, of the<br>police or of the<br>administration of the State.",Freedom of assembly and association,11
16,16,0.3046388854119796,0.0728460265926499,-0.0258559727116109,DIGNITY,"(0.86, 0.3712, 0.33999999999999997)","1. Everyone has the right to<br>liberty and security of<br>person. No one shall be<br>deprived of his liberty save<br>in the following cases and in<br>accordance with a procedure<br>prescribed by law: (a) the<br>lawful detention of a person<br>after conviction by a<br>competent court; (b) the<br>lawful arrest or detention of<br>a person for noncompliance<br>with the lawful order of a<br>court or in order to secure<br>the fulfilment of any<br>obligation prescribed by law;<br>(c) the lawful arrest or<br>detention of a person effected<br>for the purpose of bringing<br>him before the competent legal<br>authority on reasonable<br>suspicion of having committed<br>an offence or when it is<br>reasonably considered<br>necessary to prevent his<br>committing an offence or<br>fleeing after having done so;<br>(d) the detention of a minor<br>by lawful order for the<br>purpose of educational<br>supervision or his lawful<br>detention for the purpose of<br>bringing him before the<br>competent legal authority; (e)<br>the lawful detention of<br>persons for the prevention of<br>the spreading of infectious<br>diseases, of persons of<br>unsound mind, alcoholics or<br>drug addicts or vagrants; (f)<br>the lawful arrest or detention<br>of a person to prevent his<br>effecting an unauthorised<br>entry into the country or of a<br>person against whom action is<br>being taken with a view to<br>deportation or extradition. 2.<br>Everyone who is arrested shall<br>be informed promptly, in a<br>language which he understands,<br>of the reasons for his arrest<br>and of any charge against him.<br>3. Everyone arrested or<br>detained in accordance with<br>the provisions of paragraph 1<br>(c) of this Article shall be<br>brought promptly before a<br>judge or other officer<br>authorised by law to exercise<br>judicial power and shall be<br>entitled to trial within a<br>reasonable time or to release<br>pending trial. Release may be<br>conditioned by guarantees to<br>appear for trial. 4. Everyone<br>who is deprived of his liberty<br>by arrest or detention shall<br>be entitled to take<br>proceedings by which the<br>lawfulness of his detention<br>shall be decided speedily by a<br>court and his release ordered<br>if the detention is not<br>lawful. 5. Everyone who has<br>been the victim of arrest or<br>detention in contravention of<br>the provisions of this Article<br>shall have an enforceable<br>right to compensation.",Right to liberty and security,5-3
17,17,0.0032953879820949,0.0010087456022092,0.4052849815948174,FREEDOM,"(0.86, 0.7612000000000001, 0.33999999999999997)","1. No one shall be held guilty<br>of any criminal offence on<br>account of any act or omission<br>which did not constitute a<br>criminal offence under<br>national or international law<br>at the time when it was<br>committed. Nor shall a heavier<br>penalty be imposed than the<br>one that was applicable at the<br>time the criminal offence was<br>committed. 2. This Article<br>shall not prejudice the trial<br>and punishment of any person<br>for any act or omission which,<br>at the time when it was<br>committed, was criminal<br>according to the general<br>principles of law recognised<br>by civilised nations.",No punishment without law,7
18,18,0.039722085078874,0.1616463327918963,0.1827348128583005,FREEDOM,"(0.86, 0.7612000000000001, 0.33999999999999997)","1. In the determination of his<br>civil rights and obligations<br>or of any criminal charge<br>against him, everyone is<br>entitled to a fair and public<br>hearing within a reasonable<br>time by an independent and<br>impartial tribunal established<br>by law. Judgment shall be<br>pronounced publicly but the<br>press and public may be<br>excluded from all or part of<br>the trial in the interests of<br>morals, public order or<br>national security in a<br>democratic society, where the<br>interests of juveniles or the<br>protection of the private life<br>of the parties so require, or<br>to the extent strictly<br>necessary in the opinion of<br>the court in special<br>circumstances where publicity<br>would prejudice the interests<br>of justice. 2. Everyone<br>charged with a criminal<br>offence shall be presumed<br>innocent until proved guilty<br>according to law 3. Everyone<br>charged with a criminal<br>offence has the following<br>minimum rights: (a) to be<br>informed promptly, in a<br>language which he understands<br>and in detail, of the nature<br>and cause of the accusation<br>against him; (b) to have<br>adequate time and facilities<br>for the preparation of his<br>defence; (c) to defend himself<br>in person or through legal<br>assistance of his own choosing<br>or, if he has not sufficient<br>means to pay for legal<br>assistance, to be given it<br>free when the interests of<br>justice so require; (d) to<br>examine or have examined<br>witnesses against him and to<br>obtain the attendance and<br>examination of witnesses on<br>his behalf under the same<br>conditions as witnesses<br>against him; (e) to have the<br>free assistance of an<br>interpreter if he cannot<br>understand or speak the<br>language used in court.",Right to a fair trial,6-3-b
19,19,-0.1135396158443602,-0.0721975752862765,0.0864396091629713,FREEDOM,"(0.86, 0.7612000000000001, 0.33999999999999997)","1. Everyone has the right to<br>freedom of thought, conscience<br>and religion; this right<br>includes freedom to change his<br>religion or belief and<br>freedom, either alone or in<br>community with others and in<br>public or private, to manifest<br>his religion or belief, in<br>worship, teaching, practice<br>and observance. 2. Freedom to<br>manifest one’s religion or<br>beliefs shall be subject only<br>to such limitations as are<br>prescribed by law and are<br>necessary in a democratic<br>society in the interests of<br>public safety, for the<br>protection of public order,<br>health or morals, or for the<br>protection of the rights and<br>freedoms of others.","Freedom of thought, conscience and religion",9
20,20,-0.328998599042017,0.2049620058548018,0.0520911402965443,SOLIDARITY,"(0.86, 0.33999999999999997, 0.6987999999999996)","The Court shall examine the<br>case together with the<br>representatives of the parties<br>and, if need be, undertake an<br>investigation, for the<br>effective conduct of which the<br>High Contracting Parties<br>concerned shall furnish all<br>necessary facilities.",Examination of the case,38
21,21,0.5952594798754866,-0.2209693454583185,-0.2044324107017233,DIGNITY,"(0.86, 0.3712, 0.33999999999999997)","1. Everyone has the right to<br>liberty and security of<br>person. No one shall be<br>deprived of his liberty save<br>in the following cases and in<br>accordance with a procedure<br>prescribed by law: (a) the<br>lawful detention of a person<br>after conviction by a<br>competent court; (b) the<br>lawful arrest or detention of<br>a person for noncompliance<br>with the lawful order of a<br>court or in order to secure<br>the fulfilment of any<br>obligation prescribed by law;<br>(c) the lawful arrest or<br>detention of a person effected<br>for the purpose of bringing<br>him before the competent legal<br>authority on reasonable<br>suspicion of having committed<br>an offence or when it is<br>reasonably considered<br>necessary to prevent his<br>committing an offence or<br>fleeing after having done so;<br>(d) the detention of a minor<br>by lawful order for the<br>purpose of educational<br>supervision or his lawful<br>detention for the purpose of<br>bringing him before the<br>competent legal authority; (e)<br>the lawful detention of<br>persons for the prevention of<br>the spreading of infectious<br>diseases, of persons of<br>unsound mind, alcoholics or<br>drug addicts or vagrants; (f)<br>the lawful arrest or detention<br>of a person to prevent his<br>effecting an unauthorised<br>entry into the country or of a<br>person against whom action is<br>being taken with a view to<br>deportation or extradition. 2.<br>Everyone who is arrested shall<br>be informed promptly, in a<br>language which he understands,<br>of the reasons for his arrest<br>and of any charge against him.<br>3. Everyone arrested or<br>detained in accordance with<br>the provisions of paragraph 1<br>(c) of this Article shall be<br>brought promptly before a<br>judge or other officer<br>authorised by law to exercise<br>judicial power and shall be<br>entitled to trial within a<br>reasonable time or to release<br>pending trial. Release may be<br>conditioned by guarantees to<br>appear for trial. 4. Everyone<br>who is deprived of his liberty<br>by arrest or detention shall<br>be entitled to take<br>proceedings by which the<br>lawfulness of his detention<br>shall be decided speedily by a<br>court and his release ordered<br>if the detention is not<br>lawful. 5. Everyone who has<br>been the victim of arrest or<br>detention in contravention of<br>the provisions of this Article<br>shall have an enforceable<br>right to compensation.",Right to liberty and security,5-5
22,22,0.0894192912612897,0.3309193345522725,0.3156025021848747,FREEDOM,"(0.86, 0.7612000000000001, 0.33999999999999997)","1. In the determination of his<br>civil rights and obligations<br>or of any criminal charge<br>against him, everyone is<br>entitled to a fair and public<br>hearing within a reasonable<br>time by an independent and<br>impartial tribunal established<br>by law. Judgment shall be<br>pronounced publicly but the<br>press and public may be<br>excluded from all or part of<br>the trial in the interests of<br>morals, public order or<br>national security in a<br>democratic society, where the<br>interests of juveniles or the<br>protection of the private life<br>of the parties so require, or<br>to the extent strictly<br>necessary in the opinion of<br>the court in special<br>circumstances where publicity<br>would prejudice the interests<br>of justice. 2. Everyone<br>charged with a criminal<br>offence shall be presumed<br>innocent until proved guilty<br>according to law 3. Everyone<br>charged with a criminal<br>offence has the following<br>minimum rights: (a) to be<br>informed promptly, in a<br>language which he understands<br>and in detail, of the nature<br>and cause of the accusation<br>against him; (b) to have<br>adequate time and facilities<br>for the preparation of his<br>defence; (c) to defend himself<br>in person or through legal<br>assistance of his own choosing<br>or, if he has not sufficient<br>means to pay for legal<br>assistance, to be given it<br>free when the interests of<br>justice so require; (d) to<br>examine or have examined<br>witnesses against him and to<br>obtain the attendance and<br>examination of witnesses on<br>his behalf under the same<br>conditions as witnesses<br>against him; (e) to have the<br>free assistance of an<br>interpreter if he cannot<br>understand or speak the<br>language used in court.",Right to a fair trial,6-3-d
23,23,-0.3037949152380504,-0.0232298896757746,-0.3596530490056221,PROTOCOLS,"(0.33999999999999997, 0.43879999999999986, 0.86)","Freedom of movement 1.<br>Everyone lawfully within the<br>territory of a State shall,<br>within that territory, have<br>the right to liberty of<br>movement and freedom to choose<br>his residence. 2. Everyone<br>shall be free to leave any<br>country, including his own. 3.<br>No restrictions shall be<br>placed on the exercise of<br>these rights other than such<br>as are in accordance with law<br>and are necessary in a<br>democratic society in the<br>interests of national security<br>or public safety, for the<br>maintenance of ordre public,<br>for the prevention of crime,<br>for the protection of health<br>or morals, or for the<br>protection of the rights and<br>freedoms of others. 4. The<br>rights set forth in paragraph<br>1 may also be subject, in<br>particular areas, to<br>restrictions imposed in<br>accordance with law and<br>justified by the public<br>interest in a democratic<br>society.",Right to education,p4-2
24,24,-0.2610353320472334,0.0154072789924566,0.0250750730864691,PROTOCOLS,"(0.33999999999999997, 0.43879999999999986, 0.86)","Right to education No person<br>shall be denied the right to<br>education. In the exercise of<br>any functions which it assumes<br>in relation to education and<br>to teaching, the State shall<br>respect the right of parents<br>to ensure such education and<br>teaching in conformity with<br>their own religious and<br>philosophical convictions.",Right to education,p1-2
25,25,0.2136504022303541,0.1126175013677688,0.0768405221360775,FREEDOM,"(0.86, 0.7612000000000001, 0.33999999999999997)","1. In the determination of his<br>civil rights and obligations<br>or of any criminal charge<br>against him, everyone is<br>entitled to a fair and public<br>hearing within a reasonable<br>time by an independent and<br>impartial tribunal established<br>by law. Judgment shall be<br>pronounced publicly but the<br>press and public may be<br>excluded from all or part of<br>the trial in the interests of<br>morals, public order or<br>national security in a<br>democratic society, where the<br>interests of juveniles or the<br>protection of the private life<br>of the parties so require, or<br>to the extent strictly<br>necessary in the opinion of<br>the court in special<br>circumstances where publicity<br>would prejudice the interests<br>of justice. 2. Everyone<br>charged with a criminal<br>offence shall be presumed<br>innocent until proved guilty<br>according to law 3. Everyone<br>charged with a criminal<br>offence has the following<br>minimum rights: (a) to be<br>informed promptly, in a<br>language which he understands<br>and in detail, of the nature<br>and cause of the accusation<br>against him; (b) to have<br>adequate time and facilities<br>for the preparation of his<br>defence; (c) to defend himself<br>in person or through legal<br>assistance of his own choosing<br>or, if he has not sufficient<br>means to pay for legal<br>assistance, to be given it<br>free when the interests of<br>justice so require; (d) to<br>examine or have examined<br>witnesses against him and to<br>obtain the attendance and<br>examination of witnesses on<br>his behalf under the same<br>conditions as witnesses<br>against him; (e) to have the<br>free assistance of an<br>interpreter if he cannot<br>understand or speak the<br>language used in court.",Right to a fair trial,6-2
26,26,0.0525910643822781,0.0588586516653905,0.2010395607794575,FREEDOM,"(0.86, 0.7612000000000001, 0.33999999999999997)","1. In the determination of his<br>civil rights and obligations<br>or of any criminal charge<br>against him, everyone is<br>entitled to a fair and public<br>hearing within a reasonable<br>time by an independent and<br>impartial tribunal established<br>by law. Judgment shall be<br>pronounced publicly but the<br>press and public may be<br>excluded from all or part of<br>the trial in the interests of<br>morals, public order or<br>national security in a<br>democratic society, where the<br>interests of juveniles or the<br>protection of the private life<br>of the parties so require, or<br>to the extent strictly<br>necessary in the opinion of<br>the court in special<br>circumstances where publicity<br>would prejudice the interests<br>of justice. 2. Everyone<br>charged with a criminal<br>offence shall be presumed<br>innocent until proved guilty<br>according to law 3. Everyone<br>charged with a criminal<br>offence has the following<br>minimum rights: (a) to be<br>informed promptly, in a<br>language which he understands<br>and in detail, of the nature<br>and cause of the accusation<br>against him; (b) to have<br>adequate time and facilities<br>for the preparation of his<br>defence; (c) to defend himself<br>in person or through legal<br>assistance of his own choosing<br>or, if he has not sufficient<br>means to pay for legal<br>assistance, to be given it<br>free when the interests of<br>justice so require; (d) to<br>examine or have examined<br>witnesses against him and to<br>obtain the attendance and<br>examination of witnesses on<br>his behalf under the same<br>conditions as witnesses<br>against him; (e) to have the<br>free assistance of an<br>interpreter if he cannot<br>understand or speak the<br>language used in court.",Right to a fair trial,6-3
